Coin,price,24_Volume,market_cap
Bitcoin,"$22,899.19","$37,038,093,920",n/a
Ethereum,"$1,627.46","$7,867,512,408",n/a
Tether,$0.999442,"$43,704,035,194",n/a
USD Coin,$1.00,"$3,540,473,676",n/a
BNB,$302.66,"$717,421,027",n/a
XRP,$0.406022,"$778,524,877",n/a
Binance USD,$1.00,"$10,521,789,741",n/a
Cardano,$0.383663,"$608,313,878",n/a
Dogecoin,$0.086178780947,"$617,076,299",n/a
Solana,$25.15,"$1,170,285,225",n/a
OKB,$37.24,"$42,062,332",n/a
Polygon,$1.00,"$421,506,949",n/a
Lido Staked Ether,"$1,621.26","$16,554,504",n/a
Polkadot,$6.29,"$274,500,731",n/a
Shiba Inu,$0.000012143517,"$369,063,393",n/a
Litecoin,$89.15,"$574,095,443",n/a
TRON,$0.062034760362,"$269,768,367",n/a
Avalanche,$17.22,"$349,405,213",n/a
Dai,$0.999720,"$203,176,800",n/a
Uniswap,$6.83,"$115,794,397",n/a
Wrapped Bitcoin,"$22,839.22","$154,922,862",n/a
Cosmos Hub,$13.09,"$206,713,111",n/a
Chainlink,$6.91,"$288,615,713",n/a
Toncoin,$2.28,"$35,430,755",n/a
LEO Token,$3.46,"$487,715",n/a
Monero,$177.67,"$87,750,681",n/a
Ethereum Classic,$22.00,"$163,742,332",n/a
Bitcoin Cash,$129.52,"$561,505,670",n/a
Stellar,$0.091813314622,"$79,852,024",n/a
Aptos,$13.88,"$1,066,821,511",n/a
ApeCoin,$5.68,"$465,430,756",n/a
Quant,$142.47,"$37,861,137",n/a
NEAR Protocol,$2.44,"$229,306,799",n/a
Lido DAO,$2.39,"$208,282,049",n/a
Cronos,$0.078594694549,"$28,262,868",n/a
Filecoin,$5.30,"$272,418,364",n/a
Hedera,$0.071135284296,"$84,774,826",n/a
Algorand,$0.246429,"$95,780,159",n/a
VeChain,$0.022318568078,"$61,623,455",n/a
Internet Computer,$5.63,"$51,364,017",n/a
Decentraland,$0.728726,"$316,170,734",n/a
The Sandbox,$0.801836,"$228,423,023",n/a
Aave,$85.81,"$93,022,027",n/a
EOS,$1.08,"$104,492,651",n/a
Flow,$1.14,"$69,318,322",n/a
Terra Luna Classic,$0.000183615705,"$179,186,367",n/a
Axie Infinity,$9.21,"$87,403,771",n/a
MultiversX,$43.14,"$25,880,953",n/a
Tezos,$1.14,"$63,408,962",n/a
Theta Network,$1.02,"$30,290,435",n/a
Frax,$1.00,"$15,764,835",n/a
TrueUSD,$1.00,"$44,982,063",n/a
Pax Dollar,$0.998179,"$2,402,068",n/a
Fantom,$0.346048,"$201,450,891",n/a
Bitcoin SV,$44.61,"$17,316,461",n/a
Huobi,$4.99,"$10,862,871",n/a
KuCoin,$8.01,"$1,632,837",n/a
Frax Share,$10.49,"$36,629,755",n/a
Curve DAO,$1.04,"$121,918,419",n/a
The Graph,$0.084129871162,"$39,292,940",n/a
Chiliz,$0.136805,"$115,036,283",n/a
USDD,$0.984060,"$30,454,713",n/a
BitTorrent,$0.000000741817,"$8,466,870",n/a
Rocket Pool,$36.02,"$13,672,154",n/a
PancakeSwap,$3.83,"$35,757,526",n/a
Maker,$716.13,"$17,780,242",n/a
Trust Wallet,$1.52,"$36,309,545",n/a
Zcash,$48.11,"$54,527,792",n/a
IOTA,$0.225862,"$13,395,617",n/a
Synthetix Network,$2.59,"$38,793,824",n/a
Klaytn,$0.200540,"$29,848,204",n/a
BitDAO,$0.529755,"$19,198,829",n/a
eCash,$0.000031038638,"$8,879,304",n/a
Gate,$4.03,"$491,658",n/a
Dash,$52.49,"$95,347,259",n/a
Gemini Dollar,$1.00,"$901,263",n/a
NEO,$8.09,"$20,299,251",n/a
Tokenize Xchange,$6.96,"$9,378,880",n/a
cUSDC,$0.022737339552,$3.15,n/a
OKC,$30.35,"$5,382,193",n/a
THORChain,$1.77,"$67,561,891",n/a
PAX Gold,"$1,914.15","$7,726,827",n/a
Optimism,$2.31,"$462,188,836",n/a
ImmutableX,$0.643294,"$12,828,188",n/a
Arweave,$9.83,"$33,058,691",n/a
Mina Protocol,$0.599162,"$29,998,672",n/a
cETH,$32.65,"$2,806.62",n/a
Terra,$2.33,"$315,311,614",n/a
cDAI,$0.022133193193,"$1,965.52",n/a
Osmosis,$0.898820,"$35,145,665",n/a
Tether Gold,"$1,895.48","$571,978",n/a
NEXO,$0.828966,"$12,656,436",n/a
Zilliqa,$0.027463950315,"$50,165,237",n/a
Flare,$0.040186621928,"$12,417,285",n/a
Enjin Coin,$0.439458,"$77,118,005",n/a
EthereumPoW,$4.00,"$13,515,954",n/a
GMX,$50.07,"$17,560,281",n/a
Radix,$0.041592186316,"$461,222",n/a
Helium,$3.03,"$3,456,097",n/a
1inch,$0.522005,"$41,977,149",n/a
